# Thx
# https://wikiwiki.jp/nenaiko/
# https://a-to-monhan.com/2020/12/28/rise-kannji-yomikata/

# 武器3(笛,軽弩,重弩,弓,操虫棍,穿龍棍,磁斬鎚)

##########
# 笛
しゅりょうぶえ  狩猟笛	名詞
あいあんほるん	アイアンホルン	名詞
あいすしゅぴーる	アイスシュピール	名詞
あゔにるおるげーる	アヴニルオルゲール	名詞
あかしまのしんてき	あかしまの神笛	名詞
しんてき	神笛	名詞
あぐなでぃおん	アグナディオン	名詞
あずまんどうぃんど	アズマンドウィンド	名詞
あんこくのてるぷしこら	闇黒のテルプシコラ	名詞
あんこく	闇黒	名詞
てるぷしこら	テルプシコラ	名詞
ゔぁるきりこーだー	ヴァルキリコーダー	名詞
うぉーどらむ	ウォードラム	名詞
ゔぉるかにっくぎぐ	ヴォルカニックギグ	名詞
うねりしぇるん	ウネリシェルン	名詞
うるむーほるん	ウルムーホルン	名詞
えむろーどふらっぷ	エムロードフラップ	名詞
えんひふえ	炎妃笛	名詞
えんひふえ	炎妃笛【妖艶】	名詞
ようえん	妖艶	名詞
えんぷれすどらむ	エンプレスドラム	名詞
おうえんだんふえ	応援団笛	名詞
おうえんだんふえ	応援団笛【メガホン】	名詞
おうがきん	王牙琴	名詞
おうがきん	王牙琴【鳴雷】	名詞
めいらい	鳴雷	名詞
おうこくきししゅりょうぶえそうる	王国騎士狩猟笛ソウル	名詞
おうこくきししゅりょうぶえ	王国騎士狩猟笛	名詞
おるどまきな	オルドマキナ・HH	名詞
おるどまきな	オルドマキナ	名詞
がいらぱいぷ	ガイラパイプ	名詞
かえるくらふと	カエルクラフト	名詞
がおれんずべる	ガオレンズベル	名詞
かぜのぞくてき	風ノ賊笛	名詞
かくとすぜーれ	カクトスゼーレ	名詞
かほうてき	華鳳笛	名詞
かほうてき	華鳳笛【金蓮歩】	名詞
きんれんぽ	金蓮歩	名詞
かむらのてってき	カムラノ鉄笛	名詞
かるんだおら	カルン＝ダオラ	名詞
かるん	カルン	名詞
だおら	ダオラ	名詞
かんなりのしんてき	かんなりの神笛	名詞
ぎがぶりっつわーくす	ギガブリッツワークス	名詞
きめんもくぎょ	鬼面木魚	名詞
きょうきん	凶琴	名詞
きょうきん	凶琴【秋嵐】	名詞
しゅうらん	秋嵐	名詞
ごくあんこくじゃりゅうてき	極・闇黒邪龍笛	名詞
あんこくじゃりゅうてき	闇黒邪龍笛	名詞
きょじゅうげんきん	巨獣弦琴	名詞
ぎんのさじ	銀の匙	名詞
ぎんよくのはくてき	銀翼の拍笛	名詞
はくてき	拍笛	名詞
ぐぃろてぃすか	グィロティスカ	名詞
きゅうきゅうしきとらんぺっと	九九式トランペット	名詞
くっくそんぐ	クックソング	名詞
ぐっすりほるく	ぐっすりホルク	名詞
ぐでたまふらいぱん	ぐでたまフライパン	名詞
ぐらふぁいーおす	グラファイーオス	名詞
ぐらふぁいーおす	グラファイーオスSP	名詞
くるるどぅだ	クルルドゥダ	名詞
ぐろーどふらっぷ	グロードフラップ	名詞
くろくろ	くろくろ	名詞
くろくろ	くろくろ【ワンワン】	名詞
くろのひつぎ	クロノヒツギ	名詞
げいがんをやどすせんきょくき	睨眼を宿す戦曲器	名詞
けちゃるわっぱ	ケチャルワッパ	名詞
げねぽおるでらっくす	げねぽおるデラックス	名詞
げんらいてき	幻雷笛	名詞
げんらいてき	幻雷笛【天鼓】	名詞
てんこ	天鼓	名詞
こうこくきんあるりぜ	煌黒琴アルリゼ	名詞
こうこくきん	煌黒琴	名詞
あるりぜ	アルリゼ	名詞
ごうこ	轟鼓	名詞
ごうこ	轟鼓【虎鐘】	名詞
こしょう	虎鐘	名詞
ごくらくじょうど	極楽浄土―華厳―	名詞
ごくらくじょうど	極楽浄土	名詞
こごえしたましいをおきせしそう	凍エシ魂ヲ熾セシ奏	名詞
ごむらだいこ	御斑大鼓	名詞
こるのぴおん	コルノピオン	名詞
ごるむどらむ	ゴルム・ドラム	名詞
ごるむ	ゴルム	名詞
どらむ	ドラム	名詞
こりんことのはなくて	狐鈴コトノハナクテ	名詞
こりん	狐鈴	名詞
ことのはなくて	コトノハナクテ	名詞
さうんどおぶくらい	サウンドofクライ	名詞
ざざみかれるてぃや	ザザミ・カレルティヤ	名詞
ざざみ	ザザミ	名詞
かれるてぃや	カレルティヤ	名詞
さんさいだいこ	山砕太鼓	名詞
しーらもこもこ	シーラモコモコ	名詞
しぇるかすたねっと	シェルカスタネット	名詞
しゃくえんのふらんあにまー	灼炎のフランアニマー	名詞
ふらんあにまー	フランアニマー	名詞
しゃみせん	シャミセン	名詞
しゅりょうのたつじん	狩猟の達人	名詞
じょおうふえらんごすた	女王笛ランゴスタ	名詞
じょおうふえ	女王笛	名詞
らんごすた	ランゴスタ	名詞
しょじょといふなのしろむくろ	処女といふ名の白骸	名詞
しるばーういんど	シルバーウインド	名詞
